"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Paso (El)";FALSE;"SHELL";1.204;NA;1.204;-Inf;1.204;Inf
"Paso (El)";TRUE;"DISA";1.204;NA;1.204;-Inf;1.204;Inf
"Pastoriza (A)";FALSE;"CEPSA";1.419;NA;1.419;-Inf;1.419;Inf
"Pastoriza (A)";TRUE;"O XEIXO,S.COOP GALEGA  OIL";1.309;NA;1.309;-Inf;1.309;Inf
"Pastrana";TRUE;"LOS ANGELES";1.379;NA;1.379;-Inf;1.379;Inf
"Paterna";FALSE;"REPSOL";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"REPSOL";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"BP";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"SHELL";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"CEPSA";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"REPSOL";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";FALSE;"REPSOL";1.379;1.579;1.389;1.579;1.359;1.579
"Paterna";TRUE;"TRES CAMINOS SL-DIV.LA CAÑADA";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"E.S. METROARTE";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"VCC PATERNA";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"ELDISSER";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"CARREFOUR";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"BP SANTA RITA";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"GALP-3 CAMINOS";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"MIGUEL PI";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"BDMED";1.28335714285714;NA;1.389;-Inf;1.2;Inf
"Paterna";TRUE;"BZ ESTACION DE SERVICIO";1.28335714285714;NA;1.389;-Inf;1.2;Inf
