"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Abadín";FALSE;"CEPSA";1.409;NA;1.409;-Inf;1.409;Inf
"Abadín";TRUE;"AREA DE SERVICIO O REI DAS TARTAS (REPSOL)";1.429;NA;1.429;-Inf;1.429;Inf
"Abadiño";TRUE;"EROSKI";1.337;NA;1.359;-Inf;1.315;Inf
"Abadiño";TRUE;"EUSKOIL-STAR PETROLEUM";1.337;NA;1.359;-Inf;1.315;Inf
"Abanilla";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Abanilla";TRUE;"MEROIL, S.A.";1.309;NA;1.319;-Inf;1.299;Inf
"Abanilla";TRUE;"ER RENESUR";1.309;NA;1.319;-Inf;1.299;Inf
"Abanto y Ciérvana-Abanto Zierbena";FALSE;"REPSOL";1.449;NA;1.449;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"E.S.EL CAMPILLO";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"PETRONOR";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abanto y Ciérvana-Abanto Zierbena";TRUE;"PETRONOR";1.45566666666667;NA;1.459;-Inf;1.449;Inf
"Abarán";FALSE;"CEPSA";1.359;NA;1.359;-Inf;1.359;Inf
"Abarán";TRUE;"E.S.MONTEPINAR";1.369;NA;1.379;-Inf;1.359;Inf
"Abarán";TRUE;"LAS COLONIAS";1.369;NA;1.379;-Inf;1.359;Inf
"Abegondo";FALSE;"CEPSA";1.409;NA;1.409;-Inf;1.409;Inf
"Abegondo";TRUE;"GSM";1.278;NA;1.278;-Inf;1.278;Inf
"Abejar";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Abengibre";TRUE;"Nº 10.935";1.349;NA;1.349;-Inf;1.349;Inf
"Abenójar";FALSE;"GALP";1.419;NA;1.419;-Inf;1.419;Inf
"Abla";FALSE;"CEPSA";1.389;NA;1.389;-Inf;1.389;Inf
"Ablitas";TRUE;"AN ENERGETICOS";1.299;NA;1.299;-Inf;1.299;Inf
"Abrera";FALSE;"GALP";1.379;NA;1.379;-Inf;1.379;Inf
"Abrera";TRUE;"NIEVES";1.374;1.539;1.379;1.539;1.369;1.539
"Abrera";TRUE;"HAM";1.374;1.539;1.379;1.539;1.369;1.539
"Abrera";TRUE;"HAM";1.374;1.539;1.379;1.539;1.369;1.539
"Acedera";TRUE;"COOP.GUADALPERALES";1.237;NA;1.237;-Inf;1.237;Inf
"Aceuchal";FALSE;"CAMPSA";1.419;NA;1.419;-Inf;1.419;Inf
"Aceuchal";TRUE;"LA SOLEDAD";1.223;NA;1.223;-Inf;1.223;Inf
"Adamuz";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Adamuz";TRUE;"COOP. AGRICOLA NTRA. MADRE DEL SOL (DCOOP)";1.239;NA;1.239;-Inf;1.239;Inf
"Adanero";FALSE;"CEPSA";1.375;1.573;1.375;1.573;1.375;1.573
"Adanero";FALSE;"CEPSA";1.375;1.573;1.375;1.573;1.375;1.573
"Adeje";FALSE;"REPSOL";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";FALSE;"SHELL";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";FALSE;"CEPSA";1.12033333333333;NA;1.134;-Inf;1.108;Inf
"Adeje";TRUE;"GMOIL";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP SAN SEBASTIAN";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP LA ATALAYA";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"TGAS-TU TRÉBOL";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"DISA";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"DISA FAÑABE";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP SIAM MALL";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"DISA TIJOCO";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Adeje";TRUE;"BP MAXO ARMEÑIME";1.10055555555556;NA;1.161;-Inf;0.989;Inf
"Ademuz";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Adra";FALSE;"REPSOL";1.3815;NA;1.389;-Inf;1.359;Inf
"Adra";FALSE;"REPSOL";1.3815;NA;1.389;-Inf;1.359;Inf
"Adra";FALSE;"CEPSA";1.3815;NA;1.389;-Inf;1.359;Inf
"Adra";FALSE;"REPSOL";1.3815;NA;1.389;-Inf;1.359;Inf
"Adra";TRUE;"E.S CAMPOEJIDO ADRA";1.224;NA;1.231;-Inf;1.217;Inf
"Adra";TRUE;"CAMPOADRA";1.224;NA;1.231;-Inf;1.217;Inf
"Adrada (La)";FALSE;"REPSOL";1.425;NA;1.425;-Inf;1.425;Inf
"Adrada (La)";TRUE;"LA ADRADA";1.399;NA;1.399;-Inf;1.399;Inf
"Agaete";TRUE;"DISA AGAETE";1.099;NA;1.099;-Inf;1.099;Inf
"Agaete";TRUE;"BP AGAETE";1.099;NA;1.099;-Inf;1.099;Inf
"Àger";TRUE;"SERVI AGER";1.318;NA;1.318;-Inf;1.318;Inf
"Agolada";FALSE;"REPSOL";1.384;NA;1.389;-Inf;1.379;Inf
"Agolada";FALSE;"SHELL";1.384;NA;1.389;-Inf;1.379;Inf
"Agón";FALSE;"REPSOL";1.389;NA;1.389;-Inf;1.389;Inf
"Agoncillo";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Agoncillo";TRUE;"ROYO";1.2748;NA;1.299;-Inf;1.21;Inf
"Agoncillo";TRUE;"NORPETROL AGONCILLO";1.2748;NA;1.299;-Inf;1.21;Inf
"Agoncillo";TRUE;"ISATIR";1.2748;NA;1.299;-Inf;1.21;Inf
"Agoncillo";TRUE;"AVIA";1.2748;NA;1.299;-Inf;1.21;Inf
"Agoncillo";TRUE;"AVIA";1.2748;NA;1.299;-Inf;1.21;Inf
"Agost";FALSE;"GALP";1.439;NA;1.439;-Inf;1.439;Inf
"Agost";FALSE;"GALP";1.439;NA;1.439;-Inf;1.439;Inf
"Agost";TRUE;"PETRONOR";1.394;NA;1.399;-Inf;1.389;Inf
"Agost";TRUE;"VALCARCE";1.394;NA;1.399;-Inf;1.389;Inf
"Agramunt";FALSE;"CEPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Agramunt";TRUE;"BONAREA";1.189;NA;1.189;-Inf;1.189;Inf
"Ágreda";FALSE;"REPSOL";1.389;NA;1.389;-Inf;1.389;Inf
"Ágreda";TRUE;"EL MAYORIA COMBUSTIBLES";NA;NA;-Inf;-Inf;Inf;Inf
"Ágreda";TRUE;"UNION COMARCAL AGREDANA.S.C.L";NA;NA;-Inf;-Inf;Inf;Inf
"Aguadulce";FALSE;"REPSOL";1.389;NA;1.399;-Inf;1.379;Inf
"Aguadulce";FALSE;"CEPSA";1.389;NA;1.399;-Inf;1.379;Inf
"Aguadulce";TRUE;"PURICON, S.C.A.";NA;NA;-Inf;-Inf;Inf;Inf
"Aguarón";TRUE;"COOPERATIVA VITICOLA SAN JOSE";1.32;NA;1.32;-Inf;1.32;Inf
"Aguaviva";TRUE;"E.S. AGUAVIVA";1.389;1.589;1.389;1.589;1.389;1.589
"Agudo";TRUE;"PETRONOR";1.349;NA;1.349;-Inf;1.349;Inf
"Aguilar de Campoo";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Aguilar de Campoo";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Aguilar de Campoo";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Aguilar de Campoo";FALSE;"CEPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Aguilar de Campoo";TRUE;"BEROIL";1.309;NA;1.309;-Inf;1.309;Inf
"Aguilar de la Frontera";FALSE;"CEPSA";1.33666666666667;1.509;1.381;1.509;1.25;1.509
"Aguilar de la Frontera";FALSE;"REPSOL";1.33666666666667;1.509;1.381;1.509;1.25;1.509
"Aguilar de la Frontera";FALSE;"CEPSA";1.33666666666667;1.509;1.381;1.509;1.25;1.509
"Aguilar de la Frontera";TRUE;"GEDS";1.324;NA;1.369;-Inf;1.279;Inf
"Aguilar de la Frontera";TRUE;"AVIA";1.324;NA;1.369;-Inf;1.279;Inf
"Águilas";FALSE;"CEPSA";1.375;1.553;1.375;1.553;1.375;1.553
"Águilas";TRUE;"PLENOIL";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"VALCARCE";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"CARREFOUR";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"EXPOAGUILAS";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"ANIBAL";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"ANIBAL";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"BP TRUCKSTOP AGUILAS";1.303625;NA;1.374;-Inf;1.217;Inf
"Águilas";TRUE;"C.P.G. LA MARINA";1.303625;NA;1.374;-Inf;1.217;Inf
"Agüimes";FALSE;"REPSOL";1.03766666666667;NA;1.075;-Inf;0.989;Inf
"Agüimes";FALSE;"CEPSA";1.03766666666667;NA;1.075;-Inf;0.989;Inf
"Agüimes";FALSE;"REPSOL";1.03766666666667;NA;1.075;-Inf;0.989;Inf
"Agüimes";TRUE;"CEPSA OPER CANARIOS  S,L.";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"DISA AUTOPISTA KM 21";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"DISA AGUIMES";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"BP KM 13 CRUCE ARINAGA";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"CANARY OIL";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"OCÉANO";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"DISA BALOS";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"CANARY OIL";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"CEPSA BALOS 2";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"CEPSA BALOS 1";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"SHELL ARINAGA";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"DISA AUT.ARINAGA";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"SANTANA DOMINGUEZ";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agüimes";TRUE;"PETROPRIX";1.02514285714286;1.149;1.095;1.149;0.919;1.149
"Agullent";TRUE;"GASOLINERA AGULLENT";1.269;NA;1.269;-Inf;1.269;Inf
"Ahigal";FALSE;"CAMPSA";1.429;NA;1.429;-Inf;1.429;Inf
"Aia";TRUE;"PETROPRIX";1.299;NA;1.299;-Inf;1.299;Inf
"Aibar/Oibar";TRUE;"AVIA";1.379;NA;1.379;-Inf;1.379;Inf
"Aielo de Malferit";FALSE;"BP";1.379;NA;1.379;-Inf;1.379;Inf
"Aiguaviva";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Aiguaviva";FALSE;"GALP";1.419;NA;1.419;-Inf;1.419;Inf
"Aínsa-Sobrarbe";FALSE;"CEPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Ajalvir";FALSE;"REPSOL";1.439;NA;1.439;-Inf;1.439;Inf
"Ajofrín";FALSE;"REPSOL";1.359;NA;1.359;-Inf;1.359;Inf
"Alaejos";TRUE;"VALCARCE";1.399;NA;1.399;-Inf;1.399;Inf
"Alagón";FALSE;"REPSOL";1.38566666666667;NA;1.389;-Inf;1.379;Inf
"Alagón";FALSE;"REPSOL";1.38566666666667;NA;1.389;-Inf;1.379;Inf
"Alagón";FALSE;"REPSOL";1.38566666666667;NA;1.389;-Inf;1.379;Inf
"Alagón";TRUE;"OCHOA LORES (LA JAREA)";1.2305;NA;1.232;-Inf;1.229;Inf
"Alagón";TRUE;"SANANTONIO";1.2305;NA;1.232;-Inf;1.229;Inf
"Alaior";FALSE;"CEPSA";1.48566666666667;NA;1.489;-Inf;1.479;Inf
"Alaior";FALSE;"CEPSA";1.48566666666667;NA;1.489;-Inf;1.479;Inf
"Alaior";FALSE;"CEPSA";1.48566666666667;NA;1.489;-Inf;1.479;Inf
"Alajeró";TRUE;"OCÉANO PLAYA SANTIAGO";1.319;NA;1.319;-Inf;1.319;Inf
"Alameda";TRUE;"_";1.302;NA;1.349;-Inf;1.255;Inf
"Alameda";TRUE;"DINERGIA";1.302;NA;1.349;-Inf;1.255;Inf
"Alameda de la Sagra";FALSE;"REPSOL";1.459;NA;1.459;-Inf;1.459;Inf
"Alamillo";TRUE;"MARIO 11340";1.379;NA;1.379;-Inf;1.379;Inf
"Álamo (El)";TRUE;"BP DUALEZ";1.33625;NA;1.429;-Inf;1.28;Inf
"Álamo (El)";TRUE;"PLENOIL";1.33625;NA;1.429;-Inf;1.28;Inf
"Álamo (El)";TRUE;"E.S. EL ALAMO, S.L.";1.33625;NA;1.429;-Inf;1.28;Inf
"Álamo (El)";TRUE;"CRISTO DE LA SALUD";1.33625;NA;1.429;-Inf;1.28;Inf
"Alamús (Els)";FALSE;"CEPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Alange";TRUE;"HNOS GUILLEN MONTERO S.A.L.";1.329;NA;1.329;-Inf;1.329;Inf
"Alanís";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Alaquàs";FALSE;"GALP";1.364;NA;1.369;-Inf;1.359;Inf
"Alaquàs";FALSE;"BP";1.364;NA;1.369;-Inf;1.359;Inf
"Alaquàs";TRUE;"GALP - AMERICAN PETROL";1.294;NA;1.385;-Inf;1.207;Inf
"Alaquàs";TRUE;"ECOIL LEVANTE";1.294;NA;1.385;-Inf;1.207;Inf
"Alaquàs";TRUE;"BENZINA ALAQUAS";1.294;NA;1.385;-Inf;1.207;Inf
"Alaquàs";TRUE;"BALLENOIL";1.294;NA;1.385;-Inf;1.207;Inf
"Alaquàs";TRUE;"MOLGAS";1.294;NA;1.385;-Inf;1.207;Inf
"Alar del Rey";FALSE;"CEPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Alar del Rey";TRUE;"AVIA";1.389;NA;1.389;-Inf;1.389;Inf
"Alaró";FALSE;"CEPSA";1.449;1.609;1.449;1.609;1.449;1.609
"Alatoz";FALSE;"REPSOL";1.39;NA;1.39;-Inf;1.39;Inf
"Alba";TRUE;"CEREALES TERUEL";NA;NA;-Inf;-Inf;Inf;Inf
"Alba de Tormes";TRUE;"PETRONOR";1.409;NA;1.409;-Inf;1.409;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"REPSOL";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";FALSE;"CEPSA";1.39182352941176;NA;1.425;-Inf;1.359;Inf
"Albacete";TRUE;"CARREFOUR";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"PLENOIL";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"BP ROMICA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"TAMOS";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"A&A";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"INPEALSA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"FAMILY ENERGY";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"P347";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"PETROCAMP";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"INPEALSA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"INPEALSA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"LOZANO";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"CORYMAR";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"GMOIL";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"ABOIL";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"NATURGY ES  GNV ALBACETE";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"VALERO 24H";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"ENERCOM CARBURANTES";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"INLOCOR S.L. \"CEPSA\"";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"ALCAMPO";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"INPEALSA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"REPSOL. LOS ANGELES DE LA MANCHA, S.L.";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"LOS ANGELES DE LA MANCHA";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"AVANZA OIL";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"FAST & GAS";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albacete";TRUE;"AREA LOS LLANOS";1.32191666666667;1.559;1.419;1.559;1.249;1.559
"Albaida";FALSE;"CEPSA";1.45;NA;1.45;-Inf;1.45;Inf
"Albaida";TRUE;"GASOLBEN";NA;1.502;-Inf;1.502;Inf;1.502
"Albal";FALSE;"CEPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Albal";TRUE;"GASOLWIN";1.2546;NA;1.266;-Inf;1.245;Inf
"Albal";TRUE;"E.S.+AGRICOLA+S.C.J.+DE+ALBAL%2C+C.V.";1.2546;NA;1.266;-Inf;1.245;Inf
"Albal";TRUE;"LOWCOST24H";1.2546;NA;1.266;-Inf;1.245;Inf
"Albal";TRUE;"BIOMAR OIL SL";1.2546;NA;1.266;-Inf;1.245;Inf
"Albal";TRUE;"BALLENOIL";1.2546;NA;1.266;-Inf;1.245;Inf
"Albaladejo";TRUE;"UNIÓN SANTIAGO Y SAN MIGUEL S. COOP. DE C-LM";1.205;NA;1.205;-Inf;1.205;Inf
"Albalat de la Ribera";TRUE;"STARMA";1.339;NA;1.339;-Inf;1.339;Inf
"Albalat dels Sorells";FALSE;"REPSOL";1.369;1.549;1.369;1.549;1.369;1.549
"Albalat dels Sorells";TRUE;"MAXOIL";1.2985;NA;1.299;-Inf;1.298;Inf
"Albalat dels Sorells";TRUE;"COOPERATIVA ALBALAT";1.2985;NA;1.299;-Inf;1.298;Inf
"Albalate de Cinca";FALSE;"REPSOL";1.359;NA;1.359;-Inf;1.359;Inf
"Albalate del Arzobispo";FALSE;"CEPSA";1.369;NA;1.369;-Inf;1.369;Inf
"Albalate del Arzobispo";TRUE;"PETROTER";1.11;NA;1.11;-Inf;1.11;Inf
"Albanchez de Mágina";TRUE;"S.C.A. NTRA SRA DE LA ASUNCION";1.315;NA;1.315;-Inf;1.315;Inf
"Albarracín";FALSE;"CEPSA";1.399;NA;1.399;-Inf;1.399;Inf
"Albarreal de Tajo";FALSE;"REPSOL";1.409;NA;1.409;-Inf;1.409;Inf
"Albatàrrec";TRUE;"PETRONOR";1.3195;NA;1.379;-Inf;1.26;Inf
"Albatàrrec";TRUE;"COOP ALBATARREC";1.3195;NA;1.379;-Inf;1.26;Inf
"Albatera";FALSE;"REPSOL";1.42233333333333;NA;1.429;-Inf;1.419;Inf
"Albatera";FALSE;"REPSOL";1.42233333333333;NA;1.429;-Inf;1.419;Inf
"Albatera";FALSE;"REPSOL";1.42233333333333;NA;1.429;-Inf;1.419;Inf
"Albatera";TRUE;"SUVER GASOLEOS";1.369;NA;1.369;-Inf;1.369;Inf
"Albatera";TRUE;"FTH";1.369;NA;1.369;-Inf;1.369;Inf
"Albelda de Iregua";FALSE;"SHELL";1.409;NA;1.409;-Inf;1.409;Inf
"Albelda de Iregua";TRUE;"E.S. IREGUA, S.L";1.419;NA;1.419;-Inf;1.419;Inf
"Albentosa";FALSE;"GALP";1.399;NA;1.399;-Inf;1.399;Inf
"Alberca (La)";TRUE;"SANTIAGO HERNANDEZ";1.399;NA;1.399;-Inf;1.399;Inf
"Alberca de Záncara (La)";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Alberic";FALSE;"CEPSA";1.37566666666667;1.5735;1.389;1.578;1.359;1.569
"Alberic";FALSE;"CEPSA";1.37566666666667;1.5735;1.389;1.578;1.359;1.569
"Alberic";FALSE;"REPSOL";1.37566666666667;1.5735;1.389;1.578;1.359;1.569
"Alberic";TRUE;"PETROMAR";1.34566666666667;NA;1.369;-Inf;1.329;Inf
"Alberic";TRUE;"BP BERTA";1.34566666666667;NA;1.369;-Inf;1.329;Inf
"Alberic";TRUE;"EXOIL ALBERIC";1.34566666666667;NA;1.369;-Inf;1.329;Inf
"Alberite";TRUE;"EL SOTILLO";1.399;NA;1.399;-Inf;1.399;Inf
"Alberite de San Juan";FALSE;"CEPSA";1.359;1.573;1.359;1.573;1.359;1.573
"Albero Bajo";TRUE;"SECADERO SANTIAGO ALBERO BAJO";1.26;NA;1.26;-Inf;1.26;Inf
"Albesa";TRUE;"COOPERATIVA SANT ROC";1.245;NA;1.245;-Inf;1.245;Inf
"Albocàsser";TRUE;"COOPNOSTRA";1.379;NA;1.379;-Inf;1.379;Inf
"Albolote";FALSE;"GALP";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";FALSE;"GALP";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";FALSE;"SHELL";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";FALSE;"REPSOL";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";FALSE;"REPSOL";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";FALSE;"REPSOL";1.384;NA;1.399;-Inf;1.369;Inf
"Albolote";TRUE;"FUELING";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Albolote";TRUE;".ES CARBURANTES";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Albolote";TRUE;"JUNCARIL";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Albolote";TRUE;"JUNCADIESEL";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Albolote";TRUE;"LERFU";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Albolote";TRUE;"LOW COST TIBURONOIL";1.26983333333333;NA;1.369;-Inf;1.214;Inf
"Alborache";FALSE;"REPSOL";1.349;NA;1.349;-Inf;1.349;Inf
"Alboraya";FALSE;"CEPSA";1.374;NA;1.389;-Inf;1.369;Inf
"Alboraya";FALSE;"REPSOL";1.374;NA;1.389;-Inf;1.369;Inf
"Alboraya";FALSE;"REPSOL";1.374;NA;1.389;-Inf;1.369;Inf
"Alboraya";FALSE;"REPSOL";1.374;NA;1.389;-Inf;1.369;Inf
"Alboraya";TRUE;"ALCAMPO S.A.";1.274;NA;1.289;-Inf;1.259;Inf
"Alboraya";TRUE;"BZ ALBORAYA";1.274;NA;1.289;-Inf;1.259;Inf
"Albox";FALSE;"REPSOL";1.349;NA;1.349;-Inf;1.349;Inf
"Albox";TRUE;"CARBURANTES ALMANZORA SL";1.3082;NA;1.379;-Inf;1.249;Inf
"Albox";TRUE;"BP SAN JOSE";1.3082;NA;1.379;-Inf;1.249;Inf
"Albox";TRUE;"E.S.TERDIGUERA";1.3082;NA;1.379;-Inf;1.249;Inf
"Albox";TRUE;"RASPA-OIL (SERV. ATENDIDO)";1.3082;NA;1.379;-Inf;1.249;Inf
"Albox";TRUE;"SUMINISTROS PETROLIFEROS NTRA. SRA. DEL SALIENTE S.L.";1.3082;NA;1.379;-Inf;1.249;Inf
"Albuera (La)";FALSE;"REPSOL";1.414;NA;1.439;-Inf;1.389;Inf
"Albuera (La)";FALSE;"CEPSA";1.414;NA;1.439;-Inf;1.389;Inf
"Albuixech";FALSE;"REPSOL";1.349;1.549;1.369;1.549;1.329;1.549
"Albuixech";FALSE;"SHELL";1.349;1.549;1.369;1.549;1.329;1.549
"Albuñán";FALSE;"REPSOL";1.389;NA;1.389;-Inf;1.389;Inf
"Albuñol";FALSE;"REPSOL";1.409;NA;1.409;-Inf;1.409;Inf
"Albuñol";TRUE;"GASOLINERA";1.349;NA;1.349;-Inf;1.349;Inf
"Alburquerque";FALSE;"GALP";1.4015;NA;1.404;-Inf;1.399;Inf
"Alburquerque";FALSE;"REPSOL";1.4015;NA;1.404;-Inf;1.399;Inf
"Alcabón";TRUE;"GASOLEOS DEGAS";1.349;NA;1.349;-Inf;1.349;Inf
"Alcadozo";FALSE;"CEPSA";1.439;NA;1.439;-Inf;1.439;Inf
"Alcalá de Guadaíra";FALSE;"REPSOL";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"REPSOL";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"REPSOL";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"REPSOL";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"REPSOL";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"GALP";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"CEPSA";1.395;1.596;1.439;1.599;1.29;1.593
"Alcalá de Guadaíra";FALSE;"SHELL";1.395;1.596;1.439;1.599;1.29;1.593
