"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"BEROIL, S.L.";"N-I km 249";"RUBENA";"Rubena";"09";4908
"GALP";"CARRETERA N-I KM. 228,4";"SARRACIN";"Sarracín";"09";5074
"GALP";"CARRETERA N-I KM. 228,3";"SARRACIN";"Sarracín";"09";5028
"BEROIL";"POLIGONO POLIGONO INDUSTRIAL PARCELA 9A, 9";"SANTECILLA";"Valle de Mena";"09";13638
"SHELL";"CTRA.N-620 km 6,6";"VILLAGONZALO PEDERNALES";"Villagonzalo Pedernales";"09";8406
"BEROIL";"CARRETERA MADRID IRUN KM. 243";"VILLAGONZALO PEDERNALES";"Villagonzalo Pedernales";"09";13236
"REPSOL";"CR A-62, 5,7";"VILLAGONZALO PEDERNALES";"Villagonzalo Pedernales";"09";5076
"REPSOL";"CARRETERA CRTA A-1,  MADRID-BURGOS KM. 203";"VILLALMANZO";"Villalmanzo";"09";6026
"REPSOL";"CARRETERA A-1, MADRID-BURGOS KM. 203,000";"VILLALMANZO";"Villalmanzo";"09";6025
"CEPSA";"CARRETERA N-620A KM. 32,3";"VILLANUEVA DE LAS CARRETAS";"Villaquirán de los Infantes";"09";5024
"MAGNA OIL";"CARRETERA EX-382 KM. 3";"ALCUESCAR";"Alcuéscar";"10";14887
"VALCARCE";"AUTOVIA RUTA DE LA PLATA A-66 KM. 576,000";"ALDEA DEL CANO";"Aldea del Cano";"10";12085
"CEPSA";"CARRETERA N-630 KM. 436,4";"ALDEANUEVA DEL CAMINO";"Aldeanueva del Camino";"10";8266
"REPSOL";"AUTOVIA A-5 KM. 200";"ALMARAZ";"Almaraz";"10";5929
"CEPSA";"AUTOVIA A-V KM. 193,800";"ALMARAZ";"Almaraz";"10";8407
"S. C. L. REGADHIGOS";"CARRETERA MEDELLIN KM. 49";"ALMOHARIN";"Almoharín";"10";9998
"DST BELVIS";"CARRETERA NACIONAL V KM. 190";"BELVIS DE MONROY";"Belvís de Monroy";"10";7595
"BALLENOIL";"CALLE MONFRAGUE ESQUINA C\ GREDOS, S/N";"CACERES";"Cáceres";"10";14223
"PETROCAR";"CARRETERA MIAJADAS KM. 1,750";"CACERES";"Cáceres";"10";12656
"CARREFOUR";"CARRETERA CTRA. VALENCIA- ALCÁNTARA, KM. S/N";"CACERES";"Cáceres";"10";5854
"REPSOL";"CALLE GIL CORDERO, S,N";"CACERES";"Cáceres";"10";7588
"PETROGOLD";"PLAZA JUAN RAMON JIMENEZ, S/N";"CACERES";"Cáceres";"10";12841
"Q8";"CALLE LOS HALCONES, 10";"CACERES";"Cáceres";"10";15114
"SETTRAN";"CARRETERA N-630 KM. 558";"CACERES";"Cáceres";"10";13336
"COOPERATIVA AGRICOLA SAN RAFAEL";"POLIGONO SAN RAFAEL, S/N";"PIZARRO";"Campo Lugar";"10";15037
"COOPRADO";"CARRETERA CIRCUNVALACION KM. S/N";"CASAR DE CACERES";"Casar de Cáceres";"10";13245
"REPSOL";"AUTOVIA A-66 KM 539 KM. 539";"CASAR DE CACERES";"Casar de Cáceres";"10";14138
"SAN ROQUE";"AVENIDA ASPERILLAS, 45";"CASAS DEL CASTAÑAR";"Casas del Castañar";"10";10524
"COPAL";"EX-108 km 87.400";"CORIA";"Coria";"10";10678
"SETTRAN";"CARRETERA EX 108 KM. 87,2";"CORIA";"Coria";"10";13338
"REPSOL";"AUTOVIA MADRID -PORTUGAL KM. 219";"DELEITOSA";"Deleitosa";"10";5897
"BP";"CARRETERA NACIONAL V KM. 287,9";"ESCURIAL";"Escurial";"10";5822
"PETROL STATION";"CALLE HERNAN CORTES, 84";"JARAIZ DE LA VERA";"Jaraíz de la Vera";"10";13176
"CARBURANTES COOLOSAR";"DISEMINADO EL ROBLEDO, S/N";"LOSAR DE LA VERA";"Losar de la Vera";"10";15034
"REPSOL";"CARRETERA A-66 KM. 494";"MALPARTIDA DE PLASENCIA";"Malpartida de Plasencia";"10";10880
"COOP. SAN ISIDRO";"AVENIDA AVDA CIUDAD DE PLASENCIA, S/N";"MALPARTIDA DE PLASENCIA";"Malpartida de Plasencia";"10";13753
"12126";"AVENIDA DE LOS GREMIOS, 15,17";"MIAJADAS";"Miajadas";"10";10246
"SHELL";"CALLE HERRADORES, 2";"MIAJADAS";"Miajadas";"10";13498
"SAN ISIDRO DE MIAJADAS SCL";"AVENIDA GARCIA SIÑERIZ, 172";"MIAJADAS";"Miajadas";"10";14979
"REPSOL";"CARRETERA N-5 KM. 290,8";"MIAJADAS";"Miajadas";"10";7586
"MOMO OIL";"POLIGONO C/ CURTIDORES, 22";"MIAJADAS";"Miajadas";"10";15082
"GRUPO CRIADO";"AVENIDA PUREZA CANELO, S/N";"MORALEJA";"Moraleja";"10";12813
"AZUL-OIL";"CARRETERA JARANDILLA KM. 36";"NAVALMORAL DE LA MATA";"Navalmoral de la Mata";"10";14097
"SHELL";"CARRETERA MADRID-LISBOA, Nº 88 KM. 88";"NAVALMORAL DE LA MATA";"Navalmoral de la Mata";"10";14523
"SETTRAN";"CARRETERA ANTIGUA N-V, KM 179 KM. 179";"NAVALMORAL DE LA MATA";"Navalmoral de la Mata";"10";13339
