"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"PLENOIL";"CALLE FEDERICO GARCIA LORCA, 1";"ALBACETE";"Albacete";"02";13933
"TAMOS";"AVENIDA MENÉNDEZ PIDAL, 58";"ALBACETE";"Albacete";"02";4369
"REPSOL";"CARRETERA JAEN KM. 2";"ALBACETE";"Albacete";"02";5245
"REPSOL";"CR N-301, 244";"ALBACETE";"Albacete";"02";5208
"CEPSA";"CARRETERA N-322 KM. 349";"ALBACETE";"Albacete";"02";11048
"CORYMAR";"CTRA.AGUASNUEVAS KM 0,25";"SALOBRAL (EL)";"Albacete";"02";8915
"GMOIL";"AVENIDA PRIMERA, S/N";"ALBACETE";"Albacete";"02";13369
"NATURGY ES  GNV ALBACETE";"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N";"ALBACETE";"Albacete";"02";14612
"VALERO 24H";"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67";"ALBACETE";"Albacete";"02";13930
"ENERCOM CARBURANTES";"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69";"ALBACETE";"Albacete";"02";12801
"AVANZA OIL";"POLIGONO CAMPOLLANO C/.F, 13";"ALBACETE";"Albacete";"02";10129
"FAST & GAS";"AVENIDA 3ª ESQUINA C/ F Nº3, 3";"ALBACETE";"Albacete";"02";12763
"CEPSA";"AUTOVIA A-30 KM. 239,4";"ALBACETE";"Albacete";"02";5174
"GASÓLEOS S. ALMANSA";"AVENIDA CIRCUNVALACION, 17";"ALMANSA";"Almansa";"02";11931
"QUALITY ALMANSA";"CALLE INFANTE DON JUAN MANUEL, 4";"ALMANSA";"Almansa";"02";14256
"GASOLINERA LOW COST PENADES";"CARRETERA N-430 BADAJOZ A VALENCIA KM. 594";"ALMANSA";"Almansa";"02";14129
"COOPERATIVA SANTA CRUZ DE ALPERA";"BONETE, S/Nº";"ALPERA";"Alpera";"02";9035
"COABA";"CAMINO DE LOS GONZALOS SN";"BARRAX";"Barrax";"02";9254
"CEPSA";"AVDA. DEL VINO, 10";"CASAS-IBAÑEZ";"Casas-Ibáñez";"02";10953
"VILA Y FAYOS";"CARRETERA D-12 ESTACION KM. 32";"CAUDETE";"Caudete";"02";14203
"HAM";"CARRETERA D12 ESTACION KM. 1";"CAUDETE";"Caudete";"02";15047
"TRANSPORTES CAUDETE";"CARRETERA N-344 KM. 114,500";"CAUDETE";"Caudete";"02";12471
"VIRGEN DE LAS NIEVES";"CALLE VIRGEN DE LAS NIEVES, 17";"CENIZATE";"Cenizate";"02";12074
"SAN DIONISIO";"LA HIGUERA, 000";"FUENTE-ALAMO";"Fuente-Álamo";"02";10621
"HELLIN GAS S.L.";"CARRETERA TORREUCHEA KM. 1";"HELLIN";"Hellín";"02";11181
"MULTSER-OIL";"CARRETERA N 301-A KM. S/N";"HELLIN";"Hellín";"02";14148
"PLENOIL";"AVENIDA LIBERTAD, 111";"HELLIN";"Hellín";"02";14611
"IDS";"POLIGONO SAN RAFAEL 3ª FASE, SN";"HELLIN";"Hellín";"02";11142
"NO";"BALTASAR GONZALEZ SAEZ, 34 - 36";"HIGUERUELA";"Higueruela";"02";8895
"SAT VIDEMA";"AVENIDA DE LEVANTE 27";"MADRIGUERAS";"Madrigueras";"02";9252
"SECADEMA";"CAMINO HORTIGOSA, S/N";"MAHORA";"Mahora";"02";9250
"COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR";"CARRETERA MADRID-CARTAGENA KM. S/N";"MINAYA";"Minaya";"02";9219
"OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM";"CALLE COOPERATIVAS, 4";"MUNERA";"Munera";"02";12231
"ONTALBA S. COOP DE C-LM";"CAMINO DE HELLIN S/N";"ONTUR";"Ontur";"02";11340
"VALERO 24H ENERGIA";"AVENIDA GUARDIA CIVIL, S/N";"PEÑAS DE SAN PEDRO";"Peñas de San Pedro";"02";14417
"GASOLEOS TURBULA";"CARRETERA FUENTEALAMO KM. 36";"PETROLA";"Pétrola";"02";4791
"SAT SANTA CRUZ DE POZO LORENTE";"POLIGONO PARAJE RECIAL, 2";"POZO-LORENTE";"Pozo-Lorente";"02";12334
"RODATRANS";"CR NACIONAL 301 km 210,300";"RODA (LA)";"Roda (La)";"02";9414
"HAM";"POLIGONO AVENIDA PRIMERA, 17";"RODA (LA)";"Roda (La)";"02";14811
"LA REMEDIADORA";"ALFREDO ATIENZA, 149-151";"RODA (LA)";"Roda (La)";"02";8958
"GASPLAY";"CARRETERA AB101 KM. 0,2";"RODA (LA)";"Roda (La)";"02";13480
"COOP. LA UNION AB";"CARRETERA VILLAGARCIA KM. 0,1";"TARAZONA DE LA MANCHA";"Tarazona de la Mancha";"02";11402
"LA GAVIOTA GASOLINERAS";"AVENIDA ALBACETE, 35";"TARAZONA DE LA MANCHA";"Tarazona de la Mancha";"02";12953
"REPSOL";"AVENIDA GUARDIA CIVIL, 233";"TOBARRA";"Tobarra";"02";5219
"NO HAY";"SANTA CRUZ 16";"VALDEGANGA";"Valdeganga";"02";8900
"SAN ISIDRO";"CALLE DEL VINO, 10";"VILLALGORDO DEL JUCAR";"Villalgordo del Júcar";"02";12702
"NO TIENE";"CALLE VALENCIA, 41";"VILLAMALEA";"Villamalea";"02";10053
"REPSOL";"AUTOVIA A-43 KM. 129";"VILLARROBLEDO";"Villarrobledo";"02";11797
"PLENOIL";"CALLE GENERAL MARTI, 2";"VILLARROBLEDO";"Villarrobledo";"02";14804
"VINICOLA DE VILLARROBLEDO";"CARRETERA MUNERA KM. 0,500";"VILLARROBLEDO";"Villarrobledo";"02";14539
"GALP";"AUTOPISTA AP 7 KM. 696";"AGOST";"Agost";"03";11305
"GALP";"AUTOPISTA AP 7 KM. 696";"AGOST";"Agost";"03";11306
"SUVER GASOLEOS";"CALLE POLIGONO INDUSTRIAL MOS DEL BOU, CALLE EL ESPARTO, 5";"ALBATERA";"Albatera";"03";14191
"REPSOL";"CARRETERA CATRAL-ALBATERA KM. 4,2";"ALBATERA";"Albatera";"03";3692
"REPSOL";"CARRETERA N-340 KM. 696,7";"ALBATERA";"Albatera";"03";3588
"REPSOL";"N-340 km 696,7";"ALBATERA";"Albatera";"03";3589
"REPSOL";"POLIGONO PLAZA MOSQUERA, 6";"ALCALALI";"Alcalalí";"03";14852
"MASOIL ALCOY";"CALLE ALICANTE, 62";"ALCOY/ALCOI";"Alcoy/Alcoi";"03";13370
"GASEXPRESS";"CALLE VALENCIA ESQ C/SANT JOAN BOSCO, 1";"ALCOY/ALCOI";"Alcoy/Alcoi";"03";14200
"GASOLINERA ALCOY";"Alicante, 1 - P.I. Beniata";"ALCOY/ALCOI";"Alcoy/Alcoi";"03";3713
"PLENOIL";"AVENIDA ALBIR, 90";"ALFAS DEL PI (L')";"Alfàs del Pi (l')";"03";15006
"PLENOIL";"AVENIDA PAIS VALENCIÁ, 47";"ALFAS DEL PI (L')";"Alfàs del Pi (l')";"03";15099
"BP SANDOVAL MD";"AVENIDA DENIA, 80";"ALICANTE/ALACANT";"Alicante/Alacant";"03";10940
"BP SANDOVAL MI";"AVENIDA DENIA, 75";"ALICANTE/ALACANT";"Alicante/Alacant";"03";10941
"REPSOL";"AVENIDA DE LA UNIVERSIDAD, SN";"ALICANTE/ALACANT";"Alicante/Alacant";"03";3690
"SHELL";"AVENIDA UNIVERSIDAD, S/N";"ALICANTE/ALACANT";"Alicante/Alacant";"03";8379
"GM OIL";"CALLE JATIVA, S/N";"ALICANTE/ALACANT";"Alicante/Alacant";"03";12649
"ALCAMPO";"AVENIDA ANTONIO RAMOS CARRATALA, 56";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13283
"CEPSA";"AVDA. DE LA CONDOMINA, 47 (C-190 km 3,7)";"ALICANTE/ALACANT";"Alicante/Alacant";"03";3417
"GOTETA";"AVENIDA DENIA, 60";"ALICANTE/ALACANT";"Alicante/Alacant";"03";3580
"PLENOIL";"CALLE ANTONIO RAMOS CARRATALÁ, 26";"ALICANTE/ALACANT";"Alicante/Alacant";"03";15170
"AVANZA";"CALLE MUSICO JOSE TORREGROSA, 33";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13568
"PETROPRIX";"AVENIDA NOVELDA, 216";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13585
"VCC ALICANTE";"AVENIDA NOVELDA, 204";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13572
"BALLENOIL";"CALLE OCAÑA, 16";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13593
"TAMOIL";"CALLE ARTES GRAFICAS, 89";"ALICANTE/ALACANT";"Alicante/Alacant";"03";3731
"PETROPRIX";"AVENIDA ELCHE, 150";"ALICANTE/ALACANT";"Alicante/Alacant";"03";13584
"CEPSA";"AVENIDA ELCHE (N-332 P.K. 102), 16";"ALICANTE/ALACANT";"Alicante/Alacant";"03";3412
"CARREFOUR";"CALLE ALCALDE LORENZO CARBONELL, S/N ESQUINA VIA PARQUE, S/N";"ALICANTE/ALACANT";"Alicante/Alacant";"03";12961
"PETRO ALACANT";"CARRETERA OCAÑA KM. 7";"ALICANTE/ALACANT";"Alicante/Alacant";"03";12485
"CEPSA";"POLIGONO ZONA INDUSTRIAL A, POLIGONO B, S/N";"BACAROT (EL)";"Alicante/Alacant";"03";3446
"REPSOL";"CARRETERA CV 820 KM. 1,4";"MORALET";"Alicante/Alacant";"03";1893
"PETROPRIX";"CALLE PARTIDA DE LA ERA ALTA, 57";"ALMORADI";"Almoradí";"03";14211
".ES CARBURANTES";"CALLE REINO UNIDO, 1";"ALMORADI";"Almoradí";"03";14626
"PETROPRIX";"CALLE CUESTA DE LAS NARICES, 11";"ALTEA";"Altea";"03";14551
"PLENOIL";"AVENIDA TRES DE AGOSTO, 20";"ASPE";"Aspe";"03";14449
"GALP";"AVENIDA AVENIDA DE ORIHUELA, 101";"ASPE";"Aspe";"03";14237
"QFS";"CARRETERA NOVELDA KM. 8";"ASPE";"Aspe";"03";12853
"COOPERATIVA DIVINA AURORA";"CALLE DR. SILVESTRE,";"BENEIXAMA";"Beneixama";"03";1907
"GALP";"AVENIDA VILLAJOYOSA LA, 34";"BENIDORM";"Benidorm";"03";3716
"BP BENIDORM";"AVENIDA COMUNIDAD VALENCIANA, 18";"BENIDORM";"Benidorm";"03";3632
"REPSOL";"CARRETERA CV-70 KM. 47";"BENIDORM";"Benidorm";"03";11766
"PETROENERGY";"AVENIDA COMUNIDAD VALENCIANA- CAMÍ DEL PALASIET, 2";"BENIDORM";"Benidorm";"03";15012
"BP LA ISLETA";"AVENIDA JAIME I, 23";"BENIDORM";"Benidorm";"03";1896
"BENIEXPRESS";"CALLE ALCALDE FRANCISCO GONZALEZ FERNANDEZ, 32";"BENIJOFAR";"Benijófar";"03";14628
"MASOIL BENISA";"AVINGUDA EUROPA, 34";"BENISSA";"Benissa";"03";13381
"PLENOIL";"AVENIDA EUROPA, 12";"BENISSA";"Benissa";"03";14904
"GASEXPRESS";"CARRETERA MORAIRA-CALPE KM. 3";"BENISSA";"Benissa";"03";13780
"BIGASOIL";"CALLE DEL PROGRESO, 24";"BIGASTRO";"Bigastro";"03";13879
"ATLANTIS EXPRESS";"CALLE EL PI, 1";"BUSOT";"Busot";"03";13006
"GASEXPRESS";"AVENIDA DIPUTACION, 35";"CALPE";"Calpe/Calp";"03";13667
"AUTOFUEL LOW COST";"AVINGUDA VALL DE LAGUART, 5";"CALPE";"Calpe/Calp";"03";13958
"BP CALPE AUTOMOCION";"PARTIDA ESTACION II, 6";"CALPE";"Calpe/Calp";"03";3639
"CALPE AUTOMOCION II";"PARTIDA ESTACION II, 6";"CALPE";"Calpe/Calp";"03";9245
"REPSOL";"CALLE L ESPORT, 2";"CALPE";"Calpe/Calp";"03";3512
"Q8";"AVENIDA AV DIPUTACION S/N,";"CALPE";"Calpe/Calp";"03";1960
"SHELL";"C/ SAN RAMON, 109";"CAMPELLO (EL)";"Campello (el)";"03";9651
"GASEXPRESS CAMPELLO";"CALLE SAN RAMON, 125";"CAMPELLO (EL)";"Campello (el)";"03";14520
"COOPERATIVA SAN CRISTOBAL";"CALLE BIAR, 1";"CAÑADA";"Cañada";"03";12171
"MASOIL CASTALLA";"CALLE SAN VICENTE DEL RASPEIG, 4";"CASTALLA";"Castalla";"03";14136
"GASEXPRESS";"CARRETERA CATRAL- CALLOSA DEL SEGURA KM. 5,3";"CATRAL";"Catral";"03";10306
"SHELL";"AVENIDA ALTET L', 3";"COCENTAINA";"Cocentaina";"03";13901
"LA 23";"AVENIDA ALACANT, 64";"COCENTAINA";"Cocentaina";"03";15089
"CARREFOUR";"AVENIDA AVDA. L'ALTET Nº 2, 2";"COCENTAINA";"Cocentaina";"03";11117
"GALP";"AVENIDA AVENIDA DE ALICANTE, 104";"COCENTAINA";"Cocentaina";"03";3714
"REPSOL";"CR CV-875 ,P.K. 10,5";"CREVILLENT";"Crevillent";"03";3478
"REPSOL";"AUTOVIA A-37 KM. 728";"CREVILLENT";"Crevillent";"03";3701
"MOSCARDÓ";"P. DE ELCHE, Nº 29-31";"CREVILLENT";"Crevillent";"03";8346
"H.S";"CR N-340, 707,0";"CREVILLENT";"Crevillent";"03";3686
"HAM";"AUTOVIA A7 KM. 526";"CREVILLENT";"Crevillent";"03";14864
"PLENOIL";"PASEO DE ELCHE, 7";"SAN FELIPE NERI";"Crevillent";"03";15041
"SHELL";"CAMINO SANTA LLÚCIA, 1";"DENIA";"Dénia";"03";13558
"TECKMAR";"PARTIDA MADRIGUERES SUD, 25";"DENIA";"Dénia";"03";13231
"REPSOL";"CALLE AVENIDA VALENCIA, 44";"DENIA";"Dénia";"03";3541
"REPSOL COMERCIAL";"PARTIDA MADRIGUERES SUD, 61";"DENIA";"Dénia";"03";12469
"PLENOIL";"CALLE ALICANTE-ALTET, 122";"ELCHE/ELX";"Elche/Elx";"03";14714
"BP LA GALIA";"PARTIDA ALTABIX.POL. 1 NO 203 (AV DEL BIMILENARIO S/N)";"ELCHE/ELX";"Elche/Elx";"03";3615
"CARREFOUR";"CARRETERA ALICANTE - MURCIA KM. 53";"ELCHE/ELX";"Elche/Elx";"03";11118
"CEPSA";"CARRETERA N-340A KM. 716,3";"ELCHE/ELX";"Elche/Elx";"03";3709
"E.S. PLUSOIL";"CALLE PANAMA, 5";"ELCHE/ELX";"Elche/Elx";"03";13648
"EL CANARI";"CALLE ECUADOR, 8";"ELCHE/ELX";"Elche/Elx";"03";13600
"BALLENOIL";"CALLE SENIJA, 2";"ELCHE/ELX";"Elche/Elx";"03";14469
"PETROPRIX";"RONDA VALL D'UIXO, 52";"ELCHE/ELX";"Elche/Elx";"03";13586
"PLENOIL";"CALLE ALMANSA, 19";"ELCHE/ELX";"Elche/Elx";"03";14094
"GALP";"Autovía del Mediterráneo (A-7) a Murcia";"TORRELLANO";"Elche/Elx";"03";8305
"PETRONOR";"AVENIDA ILLICE, 22";"TORRELLANO";"Elche/Elx";"03";9649
"GALP";"Autovía del Mediterráneo (A-7) a Valencia";"TORRELLANO";"Elche/Elx";"03";8304
"REPSOL";"AVENIDA CARTAGENA DE, 59";"ALTET (EL)";"Elche/Elx";"03";3552
"SHELL";"AVENIDA MEDITERRANEO, 16";"ELDA";"Elda";"03";9117
"GASEXPRESS";"CALLE MEDICO FEDERICO MARTINEZ PEREZ, 1";"ELDA";"Elda";"03";13445
"BDMED ELDA";"POLIGONO CL ITALIA, ESQUINA CL IRLANDA PARC., 32";"ELDA";"Elda";"03";10299
"PETROPRIX";"AVENIDA PICASSO, 41";"FINESTRAT";"Finestrat";"03";13032
"GM OIL";"AVENIDA MIGUEL HERNÁNDEZ, 11";"FINESTRAT";"Finestrat";"03";15028
"CARREFOUR";"CARRETERA NUEVA FINESTRATA LA CALA KM. 5";"FINESTRAT";"Finestrat";"03";1951
"REPSOL";"AVENIDA PICASSO, 3";"FINESTRAT";"Finestrat";"03";12061
"BP LOS PALACIOS";"CALLE ACEQUIA DEL RIO, 37";"FORMENTERA DEL SEGURA";"Formentera del Segura";"03";3644
"GALP";"AVENIDA JUAN CARLOS I, S/N";"GRANJA DE ROCAMORA";"Granja de Rocamora";"03";1942
"SEVEN OIL";"CALLE FORNERS, 27";"GUARDAMAR DEL SEGURA";"Guardamar del Segura";"03";14711
"NEFT";"CALLE CARMEN MARIN GAITE, 10";"IBI";"Ibi";"03";15018
"BP PETROBENE";"CARRETERA JACARILLA-BENEJUZAR KM. 2,5";"JACARILLA";"Jacarilla";"03";10026
"ECO COMBUSTIBLE 24H LOW COST";"CALLE BRUSELAS, 4";"JÁVEA/XÀBIA";"Jávea/Xàbia";"03";12760
"Q8";"AVENIDA DEL TRENC D'ALBA, 47";"JÁVEA/XÀBIA";"Jávea/Xàbia";"03";15039
"PLENOIL";"AVENIDA PALMELA, 47";"JÁVEA/XÀBIA";"Jávea/Xàbia";"03";14713
"BP";"AUTOVIA A-31 KM. 216";"MONFORTE DEL CID";"Monforte del Cid";"03";3607
"CEPSA";"AUTOVIA A-31 KM. 220";"MONFORTE DEL CID";"Monforte del Cid";"03";3425
"CEPSA";"AUTOVIA A-31 KM. 220";"MONFORTE DEL CID";"Monforte del Cid";"03";3424
"REPSOL";"CR CV-945  LO BLANC, 1,3 (A-340 km 1,36)";"MONTESINOS (LOS)";"Montesinos (Los)";"03";3460
"GASOLPOP,S.L.";"CALLE DEL TRANSPORT, 25";"MURO DEL ALCOY";"Muro de Alcoy";"03";14427
".ES CARBURANTES";"AVENIDA PAIS VALENCIÀ, 40";"MURO DEL ALCOY";"Muro de Alcoy";"03";14518
"BP";"PARTIDA SAN PERET, 26";"MUTXAMEL";"Mutxamel";"03";11920
"QFS";"AVENIDA JESUS NAVARRO JOVER, 13";"NOVELDA";"Novelda";"03";13530
"PLENOIL";"AVENIDA MARINA BAIXA, 112";"NUCIA (LA)";"Nucia (la)";"03";14163
"CARREFOUR";"CALLE ELS POBLETS, 10";"ONDARA";"Ondara";"03";12384
"BP";"CALLE P.I. LA MARJAL - C/ GREGAL, S/N";"ONIL";"Onil";"03";12170
"T. ALBERO";"CALLE POL LA MARJAL C/LLEBEIG, 21";"ONIL";"Onil";"03";11842
"ORIGAS (MONTEPINAR)";"CARRETERA AV-4141 KM. 0,9";"ORIHUELA";"Orihuela";"03";9433
"PLENOIL";"CALLE VIEJO DE CALLOSA, 36";"ORIHUELA";"Orihuela";"03";14954
"EASYGAS";"CARRETERA NACIONAL 332 KM. 53,5";"ORIHUELA";"Orihuela";"03";12024
"PLENOIL";"CALLE SANTA ALODIA, 4";"ORIHUELA - COSTA (NUCLEO)";"Orihuela";"03";15142
"PLENOIL";"AVENIDA TIRO DE PICHON, 2";"ORIHUELA - COSTA (NUCLEO)";"Orihuela";"03";14914
"REPSOL";"CALLE CLAVO, 1";"ORIHUELA - COSTA (NUCLEO)";"Orihuela";"03";14871
"ALCAMPO";"CALLE JADE, 1";"ORIHUELA - COSTA (NUCLEO)";"Orihuela";"03";12307
"COMBUSELLA";"CALLE BARRANC DEL MARX, 4";"PEDREGUER";"Pedreguer";"03";13192
"GALP";"AUTOPISTA AP-7 (MRG.IZDO.) KM. 613,2";"PEDREGUER";"Pedreguer";"03";3718
"GALP";"AUTOPISTA AP-7 (MRG.DCHO.) KM. 613,2";"PEDREGUER";"Pedreguer";"03";3747
"LOW COST 24H";"AVENIDA JOAN CARLES I REI, 2";"PEGO";"Pego";"03";15147
"E.S. PETRER-ELDA";"AVENIDA DEL MEDITERRANEO, 129";"PETRER";"Petrer";"03";1890
"SHELL";"AVDA. DEL GUIRNEY, Nº 4";"PETRER";"Petrer";"03";9118
"BALLENOIL";"CALLE PRESBITERO CONRADO POVEDA, 1";"PETRER";"Petrer";"03";14931
"CAMPSA EXPRESS";"AVENIDA MEDITERRANEO, 143";"PETRER";"Petrer";"03";12950
"E.S.HORADADA";"CALLE MAYOR, 113";"PILAR DE LA HORADADA";"Pilar de la Horadada";"03";12756
"SURINVER";"AVENIDA DE LA COOPERATIVA, S/N";"PILAR DE LA HORADADA";"Pilar de la Horadada";"03";3392
"ÁRTICO OIL";"CALLE APIO, 2";"PILAR DE LA HORADADA";"Pilar de la Horadada";"03";15058
"E.S. LA TORRE";"AVENIDA DEL VELERO - ESQ. COMUNIDAD VALENCIANA, 110";"TORRE DE LA HORADADA";"Pilar de la Horadada";"03";14831
"GLOBALTANK PINOSO";"CARRETERA DE YECLA KM. 2";"PINOSO";"Pinoso";"03";13949
"BP ROJALES";"CARRETERA CREVILLENTE-TORREVIEJA KM. 22,8";"ROJALES";"Rojales";"03";3610
"TAMOIL";"CALLE CIUDAD DE LA LUZ, 1";"ROJALES";"Rojales";"03";14189
"BALLENOIL";"AVENIDA JEREZ DE LA FRONTERA, 2";"ROJALES";"Rojales";"03";15065
"MAXOIL";"CALLE VIGO, 40";"ROJALES";"Rojales";"03";14325
"TAMOIL";"CALLE JOSEFA ANIORTE, 3";"ROJALES";"Rojales";"03";13645
"GHOL";"CARRETERA NACIONAL 332 KM. 74,6";"SAN FULGENCIO";"San Fulgencio";"03";13115
"IDS";"POLIGONO INDUSTRIAL \"LA GRANADINA\", N";"SAN ISIDRO";"San Isidro";"03";11417
"NATURGY";"CALLE ANTONIO MACHADO / FIDEL, POL. IND. LA GRANADINA, S/N";"SAN ISIDRO";"San Isidro";"03";13443
"CARREFOUR";"CARRETERA SAN VICENTE -ALICANTE KM 3,7 KM. 3,7";"SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG";"San Vicente del Raspeig/Sant Vicent del Raspeig";"03";10775
"PLENOIL";"CARRER PERU, 12";"SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG";"San Vicente del Raspeig/Sant Vicent del Raspeig";"03";14271
"GASEXPRESS";"PARTIDA INMEDIACIONES, 28";"SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG";"San Vicente del Raspeig/Sant Vicent del Raspeig";"03";14257
"PETROPRIX";"CARRETERA N-332 KM. 116,7";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";13924
"PETROPRIX";"CALLE DIAGONAL, 15";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";14542
"PLENOIL";"AVENIDA BENIDORM, 23";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";14267
"REPSOL";"AVENIDA MIGUEL HERNANDEZ, S/N";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";3679
"REPSOL";"AVENIDA MIGUEL HERNANDEZ, S/N";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";3678
"CARREFOUR";"CARRETERA DE VALENCIA KM. 89";"SANT JOAN D'ALACANT";"Sant Joan d'Alacant";"03";1950
"REPSOL";"CR N-332, 93,5";"SANTA POLA";"Santa Pola";"03";3557
"LOW COST";"AVENIDA FINLANDIA, 17";"SANTA POLA";"Santa Pola";"03";12768
"COFRADÍA DE PESCADORES";"ZONA PORTUARIA, 35";"SANTA POLA";"Santa Pola";"03";12019
"VCC SANTA POLA";"CARRETERA SANTA POLA KM. 21";"SANTA POLA";"Santa Pola";"03";14239
"PLENOIL";"CARRETERA ELCHE SANTA POLA KM. 34";"SANTA POLA";"Santa Pola";"03";14318
"POLAGAS";"CALLE LOS MARINEROS, 1";"SANTA POLA";"Santa Pola";"03";12777
"E.LECLERC";"AVENIDA ROSA MAZÓN VALERO, SN";"TORREVIEJA";"Torrevieja";"03";13524
"GRUPO MARMESA";"CALLE VIAL DE RONDA, S/N";"TORREVIEJA";"Torrevieja";"03";1944
"CARREFOUR";"CARRETERA CREVILLENTE KM. 34,400";"TORREVIEJA";"Torrevieja";"03";1949
"Q8";"CARRETERA CTRA CREVILLENTE S/N KM. KM 3";"TORREVIEJA";"Torrevieja";"03";1959
"GM OIL TORREVIEJA";"CALLE OBENQUE, 1";"TORREVIEJA";"Torrevieja";"03";15153
".ES CARBURANTES";"AVENIDA DE LAS CORTES VALENCIANAS, SN";"TORREVIEJA";"Torrevieja";"03";13646
"PLENOIL";"AVENIDA DELFINA VIUDES, S/N";"TORREVIEJA";"Torrevieja";"03";15140
"GASEXPRESS";"CALLE AVILES, 4";"TORREVIEJA";"Torrevieja";"03";13413
"FAMILY ENERGY";"URBANIZACIÓN LA CEÑUELA, SN";"TORREVIEJA";"Torrevieja";"03";11222
"QUALITY OIL";"CALLE CLAUDIO TOLOMEO, 2";"TORREVIEJA";"Torrevieja";"03";13682
"PETROESPAÑA";"AVENIDA VALENCIA, 50";"VERGER (EL)";"Verger (el)";"03";8350
"PETROLAVILA";"PARTIDA TORRES NORTE, 31";"VILLAJOYOSA / VILA JOIOSA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";13522
"REPSOL";"AVENIDA AVENIDA PAIS VALENCIA, S.N.";"VILLAJOYOSA / VILA JOIOSA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";3581
"CEPSA";"AUTOPISTA AP-7 (MRG.DCHO.) KM. 655,4";"VILLAJOYOSA / VILA JOIOSA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";3744
"CEPSA";"AUTOPISTA AP-7 (MRG.IZDO.) KM. 655,4";"VILLAJOYOSA / VILA JOIOSA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";3717
"SUMINISTROS HERMANOS HT";"POLIGONO PP-33, PARCELA 15, S/N";"VILLAJOYOSA / VILA JOIOSA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";14751
"GASEXPRESS";"CALLE MARINERS DE LA VILAJOIOSA, 2";"ERMITA (LA)";"Villajoyosa/Vila Joiosa (la)";"03";12830
"BP OIL";"CARRETERA N-330 KM. 68";"VILLENA";"Villena";"03";9276
"REPSOL";"CARRETERA LA ALQUERIA Nº125 SALIDA AUTOVIA 389 KM. 389";"ADRA";"Adra";"04";11926
"CEPSA";"AUTOVIA A-7 KM. 391";"ADRA";"Adra";"04";12113
"E.S CAMPOEJIDO ADRA";"CALLE BARCELONA, 2";"PUENTE DEL RIO";"Adra";"04";12462
"CAMPOADRA";"AVENIDA LEGION ESPAÑOLA, 2";"PUENTE DEL RIO";"Adra";"04";11826
"CARBURANTES ALMANZORA SL";"CARRETERA A-334 KM. 72,300";"ALBOX";"Albox";"04";11829
"BP SAN JOSE";"CR HUERCAL-OVERA-VILLAC. KM  70,1";"ALBOX";"Albox";"04";6937
"PLENOIL";"CARRETERA NIJAR LOS MOLINOS KM. 396";"ALMERIA";"Almería";"04";14598
"REPSOL";"AVENIDA FEDERICO GARCIA LORCA, S/N";"ALMERIA";"Almería";"04";6964
"PLENOIL";"CALLE OLULA DEL RIO, 1";"ALMERIA";"Almería";"04";14876
"PLENOIL";"AVENIDA MEDITERRANEO, 184";"ALMERIA";"Almería";"04";14879
"PETROPRIX";"CARRETERA AL-3117 - AL-3110 KM. 0+925";"ALMERIA";"Almería";"04";15129
"CEPSA";"CARRETERA AL-12 KM. 3.6";"ALMERIA";"Almería";"04";12615
"BP RAMBLA INIESTA";"CALLE CUESTA DE LOS CALLEJONES, 0";"ALMERIA";"Almería";"04";10829
"CARREFOUR";"CALLE JORGE GUILLEN, S/N";"ALMERIA";"Almería";"04";12812
"BP MONTSERRAT  ALMERIA";"CALLE MONSERRAT, 0";"ALMERIA";"Almería";"04";10433
"LA TORRE";"AVENIDA SIERRA ALHAMILLA, 310";"ALMERIA";"Almería";"04";14241
"REPSOL";"AUTOVIA A7 KM. 460,000";"ALQUIAN (EL)";"Almería";"04";12687
"BP";"CARRETERA SAN JOSÉ KM. 0,000";"RUESCAS";"Almería";"04";14026
"JCARRION";"CARRETERA E-15/N-340 KM. 471";"RETAMAR";"Almería";"04";9665
