"max(precio_gasoleo_a)";"min(precio_gasoleo_a)";"mean(precio_gasoleo_a)";"max(precio_gasolina_95_e5_premium)";"min(precio_gasolina_95_e5_premium)";"mean(precio_gasolina_95_e5_premium)"
1.459;1.339;1.42572972972973;1.689;1.519;1.61321621621622
1.469;1.189;1.38681333333333;1.705;1.369;1.5706
